country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,18.4k,19.3k,19.8k,20.1k,21k,22.1k,22.8k,23.8k,24.9k,25.6k,27k,27.9k,28.6k,29.1k,29.5k,30.2k,32.6k,34.2k,35.2k,34.6k,35.1k,36.5k,36.4k,36.3k,36.2k,36.6k,40k,41.8k,43.5k,44.7k,42.4k
Jamaica,4300,4580,4860,5670,5640,5890,6090,6040,5900,5980,6110,6220,6300,6630,6880,7100,7550,7830,7960,7530,7600,7870,8080,8250,8360,8520,8810,9330,9590,9910,8940
Jordan,4160,4000,4510,4620,4740,4990,5020,5230,5410,5560,6010,6380,6660,6950,7630,8260,8880,9480,9740,9780,9390,9320,9080,9230,9080,9360,9370,9950,10.2k,10.5k,10.3k
Japan,20.1k,21.4k,22.1k,22.4k,23k,24.1k,25.3k,26k,25.8k,26.1k,27.7k,28.4k,29k,29.9k,31.4k,32.9k,34.5k,36.1k,36.2k,34.4k,36.3k,37.3k,38.6k,40.8k,41k,42.5k,42k,43k,43.8k,44.3k,43.1k
Kazakhstan,,,,6820,6160,5880,6090,6380,6440,6640,7250,8540,9620,10.5k,11.7k,12.6k,13.9k,15.2k,15.4k,16k,16.7k,17.8k,19.1k,21.9k,22.2k,21.8k,21.5k,22.2k,22.9k,24k,24.4k
Kenya,1630,1650,1620,1600,1630,1710,1770,1770,1800,1810,1820,1870,1860,1900,2000,2140,2280,2430,2420,2140,2290,2440,2520,2740,2980,3320,3880,4130,4380,4570,4500
Kyrgyz Republic,,2380,2080,1790,1440,1370,1470,1600,1610,1650,1750,1910,1930,2090,2230,2300,2460,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5100,5000,4760
Cambodia,,,,,,780,810,840,860,950,1040,1120,1180,1290,1440,1640,1850,2080,2220,2200,2320,2490,2720,2920,3020,3180,3450,3680,3970,4310,4250
Kiribati,1530,2050,2110,2060,2100,2230,1950,2360,2650,2400,2570,2710,2600,2500,2400,2470,2470,2570,2560,2410,2510,2430,2780,3160,3610,4340,3930,4280,4290,4860,4260
St. Kitts and Nevis,9150,9140,9530,10.3k,11k,11.8k,12.4k,13.3k,13.1k,13.5k,15.1k,16k,16.2k,15.4k,16.5k,18.7k,20k,20.6k,22.1k,21.2k,21.3k,21.9k,20.9k,21.8k,22.2k,22.2k,24.4k,25.7k,26.9k,28.6k,26.2k
South Korea,8350,9470,10.2k,11k,12.2k,13.4k,14.6k,15.6k,14.8k,16.6k,18.4k,19.6k,21.3k,22k,23.7k,25k,26.8k,29k,29.9k,29.5k,31.8k,32.8k,33.9k,34.5k,35.5k,38k,39.7k,41.1k,43.2k,43.4k,45.6k
Kosovo,,,,,,,,,,,,,,,,,,,6840,6980,7350,7970,8300,8580,8830,9510,10.1k,10.7k,11.2k,12.1k,11.6k
Kuwait,,,,,,70.6k,70.5k,72.5k,72.2k,64.3k,66.2k,63.8k,62.7k,72.8k,83.5k,92.9k,100k,101k,96.7k,84.6k,80k,82.7k,87k,84k,76.8k,52.5k,49.9k,58.8k,58.5k,58.9k,
Lao,1030,1070,1130,1190,1280,1370,1460,1520,1560,1700,1760,1870,1990,2070,2270,2510,2670,2970,3170,3440,3580,3870,4550,5000,5610,5890,6550,6870,7410,7730,7800
Lebanon,4680,5810,6700,7060,7530,7950,8700,8750,8980,8970,9120,9110,8750,7670,9300,9860,10.3k,11.9k,13k,14k,14.8k,14.6k,14.8k,14.9k,14.9k,14.9k,15.3k,16k,16k,15k,11.8k
Liberia,,,,,,,,,,,880,830,850,580,610,660,740,820,880,910,930,1040,1090,1260,1270,1200,1310,1420,1380,1370,1300
Libya,,,,,,,,,,,,,17.9k,20.4k,21k,23.8k,26.4k,28.2k,29k,28.7k,29.9k,11.5k,23.7k,19.7k,14.5k,12.7k,11.4k,13.7k,15.7k,16.3k,11.5k
St. Lucia,6120,6250,6890,6940,7140,7290,7590,7550,7990,8250,8330,8030,8230,8600,9290,9450,11.1k,11.4k,12k,11.8k,12.1k,13.1k,12.8k,13.2k,12.9k,12.4k,13.4k,14.1k,14.8k,15k,12k
Sri Lanka,2290,2450,2600,2820,2990,3180,3340,3600,3780,3970,4270,4270,4480,4820,5170,5610,6170,6730,7140,7470,8110,8920,10.1k,10.6k,11k,11.3k,11.9k,12.3k,12.8k,13.2k,12.9k
Lesotho,1300,1350,1370,1360,1420,1430,1510,1550,1520,1560,1600,1920,1970,2090,2100,2130,2210,2640,2760,2670,2770,2740,2700,2940,3120,3440,3400,3030,3050,3060,2730
Lithuania,,,,,,5920,6320,6940,7590,7630,8290,9310,10.4k,11.8k,12.7k,14.3k,16.1k,18.4k,20.1k,18.5k,20k,22.2k,23.9k,26.1k,27.9k,27.8k,29.8k,32.5k,35.3k,37.2k,37.8k
Luxembourg,29.9k,33.3k,34.1k,35.2k,35.5k,37.3k,38.6k,41k,41.5k,46k,48.8k,50k,49.4k,48.7k,58.4k,62.6k,63.2k,72.4k,71.2k,55.4k,61.4k,65.5k,74.2k,72.4k,76.5k,69.4k,75.1k,82.3k,82.8k,77.7k,83.2k
Latvia,,,,,,5550,5840,6540,7110,7340,8030,9070,10.1k,11k,12k,13.8k,15.5k,17.7k,19.3k,18.2k,17.9k,19.2k,21.1k,22.6k,23.9k,24.9k,26.7k,28.6k,30.4k,31.4k,31.5k
"Macao, China",27.4k,28.6k,32.4k,33.9k,35.2k,35.9k,35k,34.8k,32.6k,31k,32k,35.6k,38.3k,41.9k,51.4k,55.2k,60.4k,76.4k,70.6k,71.8k,87.8k,103k,113k,127k,128k,104k,104k,112k,120k,117k,
Morocco,2470,2690,2650,2630,2940,2790,3170,3130,3370,3410,3510,3810,3950,4220,4510,4770,5220,5500,5870,6020,6240,6600,6570,6820,6450,6890,6980,7170,7480,7710,7260
Moldova,,,,,,,3160,3280,3050,3030,3240,3600,4040,4470,5030,5590,5950,6170,6830,6230,6860,7390,8050,9170,9590,9790,11.2k,12.3k,13.3k,14.3k,13.5k
